tmp_code	GO_terms
tmp_000433	['GO:0006163', 'GO:0005829', 'GO:0004385']
tmp_000435	['GO:0003824', 'GO:0016891']
tmp_000437	['GO:0071973', 'GO:0009427', 'GO:0003774']
tmp_000438	['GO:0008781']
tmp_000439	['GO:0008781']
tmp_000440	['GO:0016747']
tmp_000441	['GO:0009244', 'GO:0005886', 'GO:0005524', 'GO:0009029', 'GO:0009245']
tmp_000442	['GO:0003952', 'GO:0004359', 'GO:0005737', 'GO:0008795', 'GO:0009435']
tmp_000444	['GO:0005829', 'GO:0009099', 'GO:0050661', 'GO:0009082', 'GO:0009097', 'GO:0016491', 'GO:0004455']
tmp_000445	['GO:0051782', 'GO:0016887', 'GO:0005829', 'GO:0005524', 'GO:0009898']
tmp_000446	['GO:0051301', 'GO:0032955']
tmp_000447	['GO:0009294']
tmp_000448	['GO:0006364', 'GO:0006139', 'GO:0000967', 'GO:0005829']
tmp_000449	['GO:0005515']
tmp_000450	['GO:0005515']
tmp_000453	['GO:0003796']
tmp_000458	['GO:0003723', 'GO:0000455', 'GO:0001522', 'GO:0009451', 'GO:0009982']
tmp_000459	['GO:0003676', 'GO:0006281', 'GO:0008409', 'GO:0006310']
tmp_000460	['GO:0005829', 'GO:0042802', 'GO:0006221', 'GO:0006241', 'GO:0003883', 'GO:0019856']
tmp_000462	['GO:0009431', 'GO:0071973', 'GO:0003774']
tmp_000463	['GO:0006935', 'GO:0071973', 'GO:0009288', 'GO:0003774']
tmp_000464	['GO:0005829']
tmp_000465	['GO:0019288', 'GO:0005829', 'GO:0008661', 'GO:0016114', 'GO:0003824', 'GO:0016744']
tmp_000466	['GO:0045727', 'GO:0043022', 'GO:0003924', 'GO:0005525']
tmp_000467	['GO:0008168']
tmp_000468	['GO:0003676']
tmp_000469	['GO:0071978']
tmp_000470	['GO:0055085', 'GO:0022857', 'GO:0016020']
tmp_000471	['GO:0000166', 'GO:0003677', 'GO:0005524']
tmp_000473	['GO:0004802', 'GO:0003824', 'GO:0005829', 'GO:0006098']
tmp_000474	['GO:0003919', 'GO:0009231', 'GO:0009398', 'GO:0008531', 'GO:0006771']
tmp_000475	['GO:0003723', 'GO:0032259', 'GO:0008168']
tmp_000477	['GO:0016597', 'GO:0006520', 'GO:0005829', 'GO:0006207', 'GO:0016743', 'GO:0004070']
tmp_000479	['GO:0016887', 'GO:0015421', 'GO:0005524', 'GO:0140359', 'GO:0055085', 'GO:0016020']
tmp_000481	['GO:0003676', 'GO:0009307', 'GO:0004519', 'GO:0015666', 'GO:0003677', 'GO:0043590']
tmp_000482	['GO:0016887', 'GO:0005524']
tmp_000484	['GO:0035444', 'GO:0015099', 'GO:0005886']
tmp_000488	['GO:0046872', 'GO:0005507', 'GO:0006825']
tmp_000489	['GO:0005215', 'GO:0016887', 'GO:0055070', 'GO:0043682', 'GO:0005507', 'GO:0005524', 'GO:0019829', 'GO:0006812', 'GO:0000166', 'GO:0046872', 'GO:0016020']
tmp_000490	['GO:0016020', 'GO:0008654', 'GO:0016780']
tmp_000492	['GO:0016887', 'GO:0005524', 'GO:0004176', 'GO:0008270', 'GO:0006508', 'GO:0004222', 'GO:0016020']
tmp_000493	['GO:0005829', 'GO:0008276', 'GO:0006479']
tmp_000494	['GO:0000160']
tmp_000499	['GO:0005829', 'GO:0070043', 'GO:0005737', 'GO:0006364', 'GO:0008649']
tmp_000500	['GO:0002099', 'GO:0008616', 'GO:0016740', 'GO:0051075', 'GO:0016853']
tmp_000501	['GO:0009977', 'GO:0065002', 'GO:0043953', 'GO:0016020', 'GO:0033281']
tmp_000502	['GO:0008320', 'GO:0016020', 'GO:0043953']
tmp_000503	['GO:0009378', 'GO:0016887', 'GO:0006281', 'GO:0003677', 'GO:0006310', 'GO:0005524']
tmp_000504	['GO:0003864', 'GO:0000287', 'GO:0005737', 'GO:0015940', 'GO:0003824']
tmp_000509	['GO:0000902']
tmp_000510	['GO:0009245', 'GO:0008759']
tmp_000512	['GO:0004413', 'GO:0005524', 'GO:0006566']
tmp_000514	['GO:0006413', 'GO:0003743', 'GO:0005525', 'GO:0005737', 'GO:0003924']
tmp_000515	['GO:0006364']
tmp_000516	['GO:0000028', 'GO:0042274', 'GO:0005829', 'GO:0006412']
tmp_000517	['GO:0006085', 'GO:0005829', 'GO:0003987', 'GO:0016208', 'GO:0019427']
